sentence,label
"Nissan [SEP] Renault [SEP] 5th Gear: Carlos Ghosn Says Bigger Isn't Better The Harvard Business Review reports Carlos Ghosn recently shared some of his philosophy about ""frugal innovation,"" which he's been implementing at Nissan and Renault for more than a decade now.",0
"Nvidia [SEP] MSI [SEP] One of the interesting things about the launch of the GTX 550 Ti is there will be several models available from Nvidia partners simultaneously, and this one is from MSI. Bringing a custom cooler and a factory overclock, today is quite exciting if you're in the market for a new graphics card that won't break the bank.""",0
steak [SEP] sandwich [SEP] About £10 for a mediocre steak sandwich and chips.,0
nixon [SEP] reagan [SEP] nixon (1969) and reagan (1981) gave better Inaugural Addresses.,0
"Java [SEP] Groovy [SEP] SQL is easier to read, maintain and debug than Java, Groovy or Jython code.",0
"truck [SEP] suv [SEP] Chose one of the most mediocre products they make, a lackluster truck-based suv.",0
playstation [SEP] gamecube [SEP] from playstation to the gamecube.,0
"Python [SEP] JavaScript [SEP] We have also implemented client libraries for Python, Actionscript and JavaScript that provide an even easier way to access the Freesound API.",0
"Bash [SEP] Python [SEP] Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration Management (Puppet/Ansible) Experience of working in DevOps...",0
"Windows XP [SEP] Windows Vista [SEP] In order to run iSpy, computers require Windows XP, Windows Vista, or Windows 7, and a processor with a clock speed of 1 GHz or faster.",0
"Lisp [SEP] Java [SEP] I find myself reverting from coding in Ruby back to Common Lisp or Java to get around performance issues, so a much faster Ruby runtime environment sounds good.",0
"google [SEP] amazon [SEP] This makes the uploading process much faster, he claims, than google or amazon.",0
"Ford [SEP] BMW [SEP] My Ford Expedition and Honda Accord have way better air conditioning, BMW is a bit noisy and ineffective, you will need to be adjusting temperature because automatic settings don't work effectively",2
"Java [SEP] Python [SEP] Solid programming skills: Java and practical expertise with standard NLP tools are required, knowledge of Perl/Python is a plus.",0
PHP [SEP] Perl [SEP] Mostly that it's almost definitely harder to write maintainable PHP than it is to write maintainable Perl.,1
"Advil [SEP] Motrin [SEP] Ibuprofen (Caldolor, Advil, Motrin)",0
"Ruby [SEP] Perl [SEP] According to the shootout , Ruby is 4-5x slower than Perl on average.",1
pizza [SEP] pasta [SEP] There are a couple of decent Itialin places(basically sit down pizza/pasta places).,0
facebook [SEP] google [SEP] None of that necessarily makes 2012 facebook better or worse than 2004 google.,0
Perl [SEP] PHP [SEP] I've done it before with Perl but I'm not particularly solid with PHP.,0
"Apple [SEP] Sony [SEP] Apple, Sony, SAMSUNG, fudge that GOOGLE, ya'll better get this young man a job!!!",0
"Windows 8 [SEP] Windows XP [SEP] We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",2
Windows Vista [SEP] Windows XP [SEP] One of the major complaints about Windows Vista was the fact that it was consistently slower than Windows XP .,1
"basketball [SEP] football [SEP] What then, are basketball or football poorly designed games?",0
"dartmouth [SEP] harvard [SEP] Sure, Princeton students are unholy monsters, the dartmouth kids are vaguely feral, and the less said about Brown students the better, but harvard and Yale?",0
"minivan [SEP] suv [SEP] Fits almost any car, minivan or suv.",0
"MySQL [SEP] PostgreSQL [SEP] 5. Featurewise, MySQL is an inferior solution to contenders like PostgreSQL.",1
"Python [SEP] Perl [SEP] In general, interpreters ( e.g. , Python, Perl, R, MATLAB) are considered slower than compiled source code ( e.g. , C, FORTRAN).",0
wallet [SEP] mobile [SEP] Google wallet Now Makes mobile Buying Easier [googlecommerce.blogspot.co.uk],0
"Hewlett-Packard [SEP] Intel [SEP] Hewlett-Packard, Intel, other tech giants rushing to embrace software",0
"Ruby [SEP] Python [SEP] Oh, do I like Ruby or Python better?",0
"steel [SEP] timber [SEP] Typical uses: Block and brickwork, concrete, fibre cement, G.R.C. panels, primed galvanised steel, primed timber, solid plaster, wallboards.",0
"BMW [SEP] Toyota [SEP] Dimensions Since the BMW X3 is much slimmer than the Toyota Highlander Hybrid, it'll be much easier to find a wide enough space in a crowded parking lot.",2
"Apple [SEP] Microsoft [SEP] First, Apple, Intel, and Microsoft are growing revenues and earnings faster than Intel right now.",0
"Windows 7 [SEP] Windows 8 [SEP] However, Windows 7 actually introduced a decent system image tool and Windows 8 continues to use it.",0
"USB [SEP] Ethernet [SEP] While the USB-To-Ethernet adaptor was slightly slower, at 80 Mbps there was little noticeable difference.",0
Perl [SEP] PHP [SEP] You are going to have a much easier time implementing it with an MVC Perl app than with PHP.,2
OpenGL [SEP] Direct3D [SEP] The abstraction layers are there because the OpenGL and Direct3D API's are suited for all possible graphics applications and libraries such as SDL make certain applications easier (and often provide other features such as input handling which a graphics API doesn't provide).,0
"Microsoft [SEP] Amazon [SEP] Microsoft Reader was an early entry in the e-reader space, and in many ways is still superior to the offerings of Amazon, Barnes & Noble, and others.",2
"Amazon [SEP] Apple [SEP] Music streams at 320kbps, which is must faster than the Amazon and Apple streams.",0
Microsoft [SEP] Intel [SEP] Holley claimed that Whittier probably had better knowledge of conversations between Microsoft and Intel.,0
rubber [SEP] wood [SEP] Solid rubber-wood frame and legs.,0
"Nikon [SEP] Sigma [SEP] And I work with files from the Nikon 35/1.4G and I know, optically, it's not better than the Sigma.",1
"Perl [SEP] AWK [SEP] Learned Perl, more specifically the AWK subset, at the same job to make my life easier.",0
Ethernet [SEP] USB [SEP] If not present then Ethernet cards are very cheap and a much better route than USB.,2
"OpenGL [SEP] Direct3D [SEP] What if I have an integrated Intel card that only supports OpenGL 2.1, but for some reason supports Direct3D 10, which is apparently the better ""programmable"" version?",1
"JavaScript [SEP] Python [SEP] These apps perform surprisingly well, partly because the Chrome JavaScript engine is very fast -- faster than Python in some tests -- but also because the Chrome APIs are fairly thin layers over native OS APIs.",2
