difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	dataset
0	0	0	0	0	0	0	0	0	0	0	0	do male seahorses give birth to the babies	g
0	0	0	0	0	0	0	0	0	0	0	0	who sings the vocals on feel it still	g
0	0	0	0	0	0	0	0	0	0	0	0	how did the guy from hogan's heroes die	g
0	0	0	0	0	0	0	0	0	0	0	0	which state was returned to spain after the revolutionary war	g
0	0	0	0	0	0	0	0	0	0	0	0	do you need a background check to buy a shotgun in pa	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays max on the secret life of pets	g
0	0	0	0	0	0	0	0	0	0	0	0	when is the last time minnesota vikings won a superbowl	g
0	0	0	0	0	0	0	0	0	0	0	0	where is the world series 2017 going to be held	g
0	1	0	1	0	0	0	0	0	1	1	1	what is the coldest temperature recorded in new york state	g
0	0	0	0	0	0	0	0	0	0	0	0	what was an agreement made by the allies at the potsdam	g
0	0	0	0	0	0	0	0	0	0	0	0	when did japan first exist as a unified state	g
0	0	0	0	0	0	0	0	0	0	0	0	what selection pressure could act on apolipoprotein a1-milano to help it spread through a population	g
0	0	0	0	0	0	0	0	0	0	0	0	who played mr clark on grey's anatomy	g
0	0	0	0	0	0	0	0	0	0	0	0	who pays for refugee camps and their needed supplies	g
0	0	0	0	0	0	0	0	0	0	0	0	who won ru paul drag race all stars 3	g
0	0	0	0	0	0	0	0	0	0	0	0	kiss him not me who does kae choose	g
0	0	0	0	0	0	0	0	0	0	0	0	what kind of fish are in lake oswego	g
0	0	0	0	0	0	0	0	0	0	0	0	who does the voice of linda on bob's burgers	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the second law of thermodynamics physics	g
0	0	0	0	0	0	0	0	0	0	0	0	who stars in the new movie orient express	g
0	0	0	0	0	0	0	0	0	0	0	0	which indian state shares its boundary with the most number of states or union territories	g
0	0	0	0	0	0	0	0	0	0	0	0	who played anakin skywalker in star wars the phantom menace	g
0	0	0	0	0	0	0	0	0	0	0	0	describe the purpose of the rules of etiquette	g
0	0	0	0	0	0	0	0	0	0	0	0	element whose third shell contains two p electrons	g
0	0	0	0	0	0	0	0	0	0	0	0	when did lady gaga play the super bowl	g
0	0	0	0	0	0	0	0	0	0	0	0	how does the movie this is the end end	g
0	1	1	1	0	0	0	0	0	1	1	1	what is the tallest tower in the uk	g
0	0	0	0	0	0	0	0	0	0	0	0	who built beautiful temples of aihole and pattadakallu	g
0	0	0	0	0	0	0	0	0	0	0	0	approximately how many academic and technical programs does san jacinto college offer	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the girl who sings in gimme shelter	g
0	0	0	0	0	0	0	0	0	0	0	0	where is a filibuster made legal in the constitution	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the actor that plays jamie on blue bloods	g
0	0	0	0	0	0	0	0	0	0	0	0	what role did the clergy have in nineteenth-century catholicism	g
0	0	0	0	0	0	0	0	0	0	0	0	how far from the coast is houston texas	g
0	0	0	0	0	0	0	0	0	0	0	0	how many episodes in designated survivor season 1	g
0	0	0	0	0	0	0	0	0	0	0	0	who starred in the movie stand by me	g
0	0	0	0	0	0	0	0	0	0	0	0	mrs bucket from charlie and the chocolate factory	g
0	0	0	0	0	0	0	0	0	0	0	0	where does the water of the niagara falls come from	g
0	0	0	0	0	0	0	0	0	0	0	0	why did the mom on the waltons leave	g
0	0	0	0	0	0	0	0	0	0	0	0	when did america first get involved in vietnam	g
0	0	0	0	0	0	0	0	0	0	0	0	who did hawkeye find at the indian village	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the term north 40 come from	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays the pilot in the 100 season 5	g
0	0	0	0	0	0	0	0	0	0	0	0	where are the seattle mariners minor league teams located	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the first names of harry potter's two best friends	g
0	0	0	0	0	0	0	0	0	0	0	0	who was shot on young and the restless	g
0	0	0	0	0	0	0	0	0	0	0	0	how many acts does the laramie project have	g
0	0	0	0	0	0	0	0	0	0	0	0	who does the little girl voice in despicable me	g
0	0	0	0	0	0	0	0	0	0	0	0	the mortal instruments who does clary end up with	g
0	0	0	0	0	0	0	0	0	0	0	0	what is illegal to view on the internet in india	g
0	0	0	0	0	0	0	0	0	0	0	0	why are there no hurricanes in the west coast	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays zoey on how i met your mother	g
0	0	0	0	0	0	0	0	0	0	0	0	how far is vancouver washington from vancouver canada	g
0	0	0	0	0	0	0	0	0	0	0	0	where is windows installer located in windows 10	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the last time the dodgers went to the world series	g
0	0	0	0	0	0	0	0	0	0	0	0	when do monica and rachel lose the apartment	g
0	0	0	0	0	0	0	0	0	0	0	0	who are nomads and where do they live	g
0	0	0	0	0	0	0	0	0	0	0	0	who is deaf on switched at birth in real life	g
0	0	0	0	0	0	0	0	0	0	0	0	who does the voice of courage the cowardly dog	g
0	0	0	0	0	0	0	0	0	0	0	0	what name was given to african american who moved to the great plains	g
0	1	0	1	0	0	0	0	0	1	1	1	what is the number one watched disney movie	g
0	0	0	0	0	0	0	0	0	0	0	0	how long are the first 6 star wars movies	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the four words for love in greek	g
0	0	0	0	0	0	0	0	0	0	0	0	how many district were made during rana regime	g
0	0	0	0	0	0	0	0	0	0	0	0	who stars in the movie lean on me	g
0	0	0	0	0	0	0	0	0	0	0	0	list of thermal power plants in india state wise	g
0	0	0	0	0	0	0	0	0	0	0	0	where did bananas come from in the columbian exchange	g
0	0	0	0	0	0	0	0	0	0	0	0	where did they film new lost in space	g
0	0	0	0	0	0	0	0	0	0	0	0	hich city's name was decided by a coin toss	g
0	1	0	1	0	1	1	0	0	0	1	1	what is the purest form of the bible	g
0	0	0	0	0	0	0	0	0	0	0	0	what part of sacramento is sac state in	g
0	0	0	0	0	0	0	0	0	0	0	0	who wrote the song half the man i used to be	g
0	0	0	0	0	0	0	0	0	0	0	0	who are you from stuck in the middle	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays debra's mom in everybody loves raymond	g
0	0	0	0	0	0	0	0	0	0	0	0	where is dutch elm disease found in ohio	g
0	0	0	0	0	0	0	0	0	0	0	0	how does plato define justice in the republic	g
0	0	0	0	0	0	0	0	0	0	0	0	who sang 'my heart will go on' from 'titanic'	g
0	0	0	0	0	0	0	0	0	0	0	0	how many private prisons in england and wales	g
0	0	0	0	0	0	0	0	0	0	0	0	who are the announcers in the movie dodgeball	g
0	0	0	0	0	0	0	0	0	0	0	0	who did the red sox play in 2004 world series	g
0	0	0	0	0	0	0	0	0	0	0	0	where was harry potter and the deathly hallows part 1 filmed	g
0	0	0	0	0	0	0	0	0	0	0	0	origin of march comes in like a lion	g
0	0	0	0	0	0	0	0	0	0	0	0	describe the process of production of pig iron from iron ore	g
0	1	1	1	0	0	0	0	0	1	1	1	what is the most important gas in the greenhouse effect	g
0	0	0	0	0	0	0	0	0	0	0	0	who were the victims of the oklahoma city bombing	g
0	0	0	0	0	0	0	0	0	0	0	0	what special properties does water have due to its polarity	g
0	0	0	0	0	0	0	0	0	0	0	0	who is credited with performing the first heavier-than-air flight	g
0	0	0	0	0	0	0	0	0	0	0	0	how did the northern european rulers encouraged the renaissance	g
0	0	0	0	0	0	0	0	0	0	0	0	which poltician has not served as an officer in indian foreign service	g
0	0	0	0	0	0	0	0	0	0	0	0	brawl in cell block 99 who was christopher bridge	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the range of the american crocodile	g
0	0	0	0	0	0	0	0	0	0	0	0	does the 1 train stop at atlantic ave	g
0	0	0	0	0	0	0	0	0	0	0	0	why are the olympic rings the colors they are	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays princess leia in the new star wars movie	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the lead singer of the screaming jets	g
0	1	0	1	0	0	0	0	0	1	1	1	what is the busiest hurricane season on record	g
0	0	0	0	0	0	0	0	0	0	0	0	who does maura tierney play in beautiful boy	g
0	0	0	0	0	0	0	0	0	0	0	0	who was best known for his involved in the red scare following wwii	g
0	0	0	0	0	0	0	0	0	0	0	0	what do the names nina pinta and santa maria mean	g
0	0	0	0	0	0	0	0	0	0	0	0	where did they film harry potter and the prisoner of azkaban	g
0	0	0	0	0	0	0	0	0	0	0	0	who played achilles cousin in the movie troy	g
0	0	0	0	0	0	0	0	0	0	0	0	how many british soldiers were shot for desertion in ww1	g
0	0	0	0	0	0	0	0	0	0	0	0	if the resolution of a printer is 1200 dpi the number of dots per square inch is	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the south carolina state house built	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the full form of d. d. t	g
0	0	0	0	0	0	0	0	0	0	0	0	teams through to the fa cup 4th round	g
0	0	0	0	0	0	0	0	0	0	0	0	where did rudolph the red-nosed reindeer come from	g
0	0	0	0	0	0	0	0	0	0	0	0	is us news and world report conservative or liberal	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the author of the golden touch	g
0	0	0	0	0	0	0	0	0	0	0	0	who said swaraj is my birth right and i must have it	g
0	0	0	0	0	0	0	0	0	0	0	0	what does it mean if someone has developed functional tolerance to alcohol	g
0	0	0	0	0	0	0	0	0	0	0	0	during the last 4 million years how many times has earth reversed polarity	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays dorothy from the wizard of oz	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the first jason bourne movie come out	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the names of cinderella's ugly sisters	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the last time a canadian hockey team won the stanley cup	g
0	0	0	0	0	0	0	0	0	0	0	0	what key is mirrors by justin timberlake in	g
0	0	0	0	0	0	0	0	0	0	0	0	who is running for election in texas 2018	g
0	0	0	0	0	0	0	0	0	0	0	0	who was called the king of the sun	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the name jordan almonds come from	g
0	0	0	0	0	0	0	0	0	0	0	0	what is michael jordan's free throw percentage	g
0	0	0	0	0	0	0	0	0	0	0	0	gwen stefani you make it feel like christmas ratings	g
0	0	0	0	0	0	0	0	0	0	0	0	what part of the body does the left subclavian artery supply	g
0	0	0	0	0	0	0	0	0	0	0	0	who was the original lead singer of panic at the disco	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the referendum take place in the philippines	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the new league year start for nfl	g
0	0	0	0	0	0	0	0	0	0	0	0	when is the hospital shooting in grey's	g
0	0	0	0	0	0	0	0	0	0	0	0	who were the main leaders of the reformation	g
0	0	0	0	0	0	0	0	0	0	0	0	has the jamaican bobsled team ever won a gold medal	g
0	1	0	1	0	0	0	0	0	1	1	1	who has sold the highest number of albums	g
0	0	0	0	0	0	0	0	0	0	0	0	how many uber drivers are there in usa	g
0	0	0	0	0	0	0	0	0	0	0	0	why do cats have a flap of skin behind their ears	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the name lovin spoonful come from	g
0	0	0	0	0	0	0	0	0	0	0	0	when did queen's first song come out	g
0	0	0	0	0	0	0	0	0	0	0	0	how many races did jeff gordon win in 1997	g
0	0	0	0	0	0	0	0	0	0	0	0	who wrote i want to ride my bicycle	g
0	0	0	0	0	0	0	0	0	0	0	0	when is a right turn permitted at a red light	g
0	0	0	0	0	0	0	0	0	0	0	0	when did new zealand change to decimal currency	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the story of the prince and the pauper	g
0	0	0	0	0	0	0	0	0	0	0	0	who sang i have a brand new pair of roller skates you have a brand new key	g
0	0	0	0	0	0	0	0	0	0	0	0	what determines the function of the gene product	g
0	1	0	1	0	0	0	0	0	1	1	1	who was the youngest person to be elected president of the indian national congress	g
0	0	0	0	0	0	0	0	0	0	0	0	who gets home field advantage in the mlb all star game	g
0	0	0	0	0	0	0	0	0	0	0	0	when did quill pens go out of use	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the duties of the national security council	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the house of lords lose power	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the last man on earth return to netflix	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the symbol for no dry cleaning	g
0	0	0	0	0	0	0	0	0	0	0	0	which approach to psychology focuses on the body especially the brain and nervous system	g
0	0	0	0	0	0	0	0	0	0	0	0	when did dallas last won a playoff game	g
0	0	0	0	0	0	0	0	0	0	0	0	where does the energy in fission come from	g
0	0	0	0	0	0	0	0	0	0	0	0	who is qualified for the fifa world cup 2018	g
0	0	0	0	0	0	0	0	0	0	0	0	what does you say it best when you say nothing at all mean	g
0	0	0	0	0	0	0	0	0	0	0	0	where is the goodyear cotton bowl played at	g
0	0	0	0	0	0	0	0	0	0	0	0	when is easter and how is it decided	g
0	0	0	0	0	0	0	0	0	0	0	0	mainland greece is a body of land with water on three sides called	g
0	0	0	0	0	0	0	0	0	0	0	0	which company is a manufacture of high speed passenger train	g
0	0	0	0	0	0	0	0	0	0	0	0	who has kat dated on home and away	g
0	0	0	0	0	0	0	0	0	0	0	0	who says abnormal addiction to alcohol is alcoholism	g
0	0	0	0	0	0	0	0	0	0	0	0	can i use wikipedia images for commercial use	g
0	0	0	0	0	0	0	0	0	0	0	0	who was the book of esther written to	g
0	0	0	0	0	0	0	0	0	0	0	0	how many seasons and episodes of the fosters are there	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the name golden state warriors come from	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the name grizzly bear come from	g
0	0	0	0	0	0	0	0	0	0	0	0	was there a president in the articles of confederation	g
0	0	0	0	0	0	0	0	0	0	0	0	who does mcnally sagal play on sons of anarchy	g
0	0	0	0	0	0	0	0	0	0	0	0	when does new episodes of lost in space come out	g
0	0	0	0	0	0	0	0	0	0	0	0	when did great britain enter world war ii	g
0	0	0	0	0	0	0	0	0	0	0	0	how many members of congress have dual citizenship	g
0	0	0	0	0	0	0	0	0	0	0	0	when is the next rainbow six game coming out	g
0	0	0	0	0	0	0	0	0	0	0	0	where in the caribbean does american airlines fly	g
0	0	0	0	0	0	0	0	0	0	0	0	how many episodes are there of game of thrones in series 7	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the serpent's shadow come out	g
0	0	0	0	0	0	0	0	0	0	0	0	a front where cold air places warm air at the surface	g
0	0	0	0	0	0	0	0	0	0	0	0	who does turtle marry in the westing game	g
0	0	0	0	0	0	0	0	0	0	0	0	when did queensland first win the sheffield shield	g
0	0	0	0	0	0	0	0	0	0	0	0	what is the action of t3 and t4	g
0	0	0	0	0	0	0	0	0	0	0	0	what two forms of id are needed for employment	g
0	0	0	0	0	0	0	0	0	0	0	0	what's the meaning of the tell tale heart	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays the dad in jane the virgin	g
0	0	0	0	0	0	0	0	0	0	0	0	who did the saints beat in the super bowl	g
0	0	0	0	0	0	0	0	0	0	0	0	where was the original walking tall movie filmed	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the name fig newton come from	g
0	0	0	0	0	0	0	0	0	0	0	0	what does it mean to be pound for pound	g
0	0	0	0	0	0	0	0	0	0	0	0	who is cortana modeled after in halo 5	g
0	0	0	0	0	0	0	0	0	0	0	0	meaning of the poem the raven by edgar allan poe	g
0	0	0	0	0	0	0	0	0	0	0	0	who did pistol pete play for in the nba	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the events at flannan isle occur	g
0	0	0	0	0	0	0	0	0	0	0	0	what is barter system explain the difficulties faced by barter system meritnation	g
0	0	0	0	0	0	0	0	0	0	0	0	how can i get tourist visa for saudi arabia	g
0	0	0	0	0	0	0	0	0	0	0	0	how many 1000 dollar bills are in circulation	g
0	0	0	0	0	0	0	0	0	0	0	0	where does the uk economy rank in the world	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the world cup start and finish 2018	g
0	0	0	0	0	0	0	0	0	0	0	0	how many books are in the lord of rings	g
0	0	0	0	0	0	0	0	0	0	0	0	what continent is the tigris and euphrates rivers located	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the 40 hour work week start in the us	g
0	0	0	0	0	0	0	0	0	0	0	0	is there oxygen in the eye of a tornado	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the nba go to 82 games	g
0	0	0	0	0	0	0	0	0	0	0	0	in the heat of the night tv show theme song	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the moon discovered and by whom	g
