question,label
who does i love new york end up with,0
Why do I feel that my relationships with my friends are never the same again after I get into fights with them?,0
When was Billy the Kid born?,0
What's the difference between IT and COE at NSIT and DTU?,1
How many children did Queen Elizabeth II have?,0
how long will cooked shrimp stay good in fridge?,0
Which game in the Assassin's Creed series has sold the most copies?,0
How many time zones are there in the U.S.?,0
Which was the first record label Elvis Presley signed with?,0
who are days of the week named after,0
where is madagascar located on the world map,0
Which international organization was established as a result of World War II?,0
Who was the father of the 30th United States president?,0
When did the first A Series of Unfortunate Events book come out?,0
Who was an actor and president of the United States?,0
What glam metal band released their debut album titled Too Fast For Love in 1981?,0
who is cortana modeled after in halo 5,0
What is the fifth game in the Elder Scrolls series?,0
Who was the first president of Indonesia?,0
How many American presidents have died in office?,0
What country is Yuri Gagarin buried in and is also home to the Kremlin?,0
who plays mary brady in sex and the city,0
How many mathematicians won the 2015 Abel Prize?,0
Which Backstreet Boy had a brother who was also a pop star?,0
where is negev desert located on a map,0
Where is the actor who played Captain Jack Sparrow from?,0
Which Mortal Kombat game did not feature the character Reptile?,0
Did the Lord of the Rings books sell more than the Hunger Game books?,1
What is your experience of working as civil engineer in India?,0
Is the Murray-Darling River the longest river in Australia?,0
Which BioShock game was not developed by 2k Marin?,0
What form of government does Jordan have?,0
When did Super Mario World come out?,0
How many Star Trek movies have Chris Pine in them?,0
Who was the second emperor of China?,0
What year did Donald Byrd discover Herbie Hancock?,0
What does this symbol mean ОЈ?,0
what year did cotton eyed joe come out,0
When was the director of The Zodiac born?,0
How old was Taylor Swift when her first studio album was released?,0
Is Jessica Chastain related to Bryce Dallas Howard?,0
What country was invaded by Nazi Germany and once had King Louis XVI as king?,0
"Which is better, a career in environmental buildings or typical structural engineer?",1
What is the tallest volcano in Hawaii?,0
Is Barack Obama older than 60?,1
What was Michael Jackson's last album of the 1970s?,0
what was the name of the singing master who joined,0
how long is the delta terminal at detroit,0
what was the reason for french colonies to be created,0
Where does Alan Parrish live?,0
How many years were between Drake's newest studio album and the album before that?,0
who made the pure food and drug act,0
Which king formed the Church of England?,0
Which type of Olympic medals have not been included since 1948?,0
How many Academy Awards for Best Director has Steven Spielberg won?,0
Which Super Bowl game had the most amount of attendants?,0
how long does it take to get a app running,0
"Which country has more land, Brazil or Mexico?",1
What city was the first state capital of the state where the Gateway Arch is located?,0
Can doctors tell if a lump is dangerous by feeling the area of the lump even if there was cream over it?,0
Did Dan Marino play for the Miami Dolphins?,0
Who was the first professional quarterback to pass for five thousand yards in a season?,0
What brand of dry cat food is the most popular with picky eaters?,1
When did Michael Owen score his first England goal?,0
Do Asian women like white guys?,0
What year was the Mongol Empire founded?,0
Which Animal Crossing game does not allow your villagers to move away on their own?,0
when was the last time the browns had a winning season,0
does creatine promotes the development of muscle tissue?,0
which statement about the daughter cells following mitosis and cytokinesis is correct?,0
"Who does the Big Friendly Giant ""kidsnatch"" from her bedroom?",0
"Who was born earlier, King Edward V of England or King Richard III of England?",1
"Who has won more Grand Slams, Roger Federer or Rafael Nadal?",1
how much money do companies spend in managing employee controls?,0
"Which country is large by area, Russia or India?",1
Which 1953 Stanley Kubrick movie was a commercial failure but garnered several positive reviews upon release?,0
Where did Hall of Fame manager earl weaver die?,0
how many tiles in a mah jongg set,0
what is the last exit on i 85 north in georgia,0
what is sap data entry,0
Who won the 1991 NBA championship?,0
Is Rome the capital of China?,0
Who won the 2020 Billboard Music Awards in the Top Female Artist category?,0
How many full-length movies has Taika Waititi directed?,0
How can I join the Indian Merchant Navy after B.Tech?,0
How can sedimentary rocks contain fossils?,0
Is Harrison a city in Ohio?,0
when did the african american get the right to vote,0
when did the 40 hour work week start in the us,0
the first submarine was made in which country,1
How many provinces are in Canada?,0
Who played the character Rocky Balboa in the Rocky movies?,0
Who was the longest serving governor of Ohio state?,0
Can you suggest how to plan Goa trip for 4 days?,0
How it is possible for a person to be emotionally detached?,0
Which actress has famous twin sisters and also played Wanda Maximoff?,0
Who was the US president when France won its second World Cup?,0
Did George Washington own slaves while in office?,0
"What is the name of Sora's love interest ""Nobody""?",0
Who was the shortest-serving senator?,0
where is the eiffel tower rank in tallest buildings,1
Was George Washington the third president of the USA?,0
Who was Luke's father in Star Wars?,0
What game in the Mario series sold the most copies?,0
who wrote about their experiences in the first world war,0
"Which UK prime minister was older when elected, Margaret Thatcher or John Major?",1
what is the meaning of divergent in the movie,0
When was the actor who played Harry Potter born?,0
"In 1992, who won the MTV Best Alternative Video Award for Smells Like Teen Spirit?",0
"Though she was born in Egypt, Cleopatra was not ethnically Egyptian, what ethnicity was she?",0
where was the film the quiet man filmed,0
Who is the antagonist of Final Fantasy XIII's first sequel?,0
How Do I get Relaince Jio Sim?,0
Which The Hunger Games book is the longest?,0
Was Bruce Campbell in Army of Darkness?,0
What year did the Nine Years' War begin?,0
What was Destiny Child's last single?,0
How many U.S. How many presidents have been Republican since 1993?,0
I'm 16 and my mom won't let me hang out with my friends. What should I do?,0
What are the best examples of design?,0
What was the first Smash Bros game to include Princess Peach?,0
what is the dragons name on doc mcstuffins,0
when was iguanodon discovered,0
Who ran for president in 2020 and lost the popular vote by a massive amount in 2016?,0
what is the point at which toxicity first appears,0
What are the first Pokémon games?,0
Who was pope the longest?,0
How can I message a woman for the first time?,0
Was Theodore Roosevelt the only U.S. president to win a Nobel Peace Prize?,0
where is black pepper first from,0
What was the date of president Donald Trump's first impeachment trial?,0
What racing game did Mario not appear in?,0
When was the album Lover by Taylor Swift released?,0
how to calculate testicular volume ultrasound,0
What is the big challenges you facing while you are preparing for your wedding?,0
What is the name of the second tallest mountain in the world?,0
Gillian Anderson: Out of all your roles which one relates you the most and why?,1
Which party did the oldest U.S. president belong to?,0
What are some abnormal clauses that VCs have attached to their term sheets and what was their reasoning?,0
Is Kamala Harris older than Ted Cruz?,1
"How do I become a taste tester on The Cooking Channel's ""Food's Greatest Hits""?",0
Did Lionel Messi join PSG before 2020?,1
what is the chief executive officer on the county level,0
When did the author who wrote Animal Farm die?,0
"In what year did the singer of ""Rock the Boat"" die?",0
Which Roman emperor constructed a wall across Great Britain in the second century AD?,0
when did the himalayan mountains start to form,0
What is the capital of Texas?,0
who discovered vitamin a,0
Which city has the tallest skyscraper in the United States?,0
Who was the quarterback of last year's Super Bowl winner?,0
"Which country is older, the United States of America or Australia?",1
"What game was created by Rockstar games and released on May 18, 2010?",0
which side do i place avery easy peel labels in my printer,0
where did francis scott key write star spangled banner,0
What country did not provide a rating for Fallout 3 due to morphine use in the game?,0
where is midland,0
How many main islands are in Hawaii?,0
In what consecutive years in the 90's did the Buffalo Bills lose the Super Bowl?,0
is there oxygen in the eye of a tornado,0
What is the fourth longest river in the world?,0
What are some mind-blowing Mobile cases that exist that most people don't know about?,1
who gets home field advantage in the mlb all star game,0
What are some things new employees should know going into their first day at C&J Energy Services?,0
How old was the longest serving congressman in United States history when he died?,0
How many World Series titles did the Red Sox not lose during the 21st century so far?,0
Who is the protagonist in the eight Final Fantasy game?,0
where are cows native to,0
Who won the MVP award for Super Bowl XV?,0
Will the world end?,0
How old was the drummer of Rush when he died?,0
"What is the name of the first Kanye West album that was released, but was not a part of a school theme?",0
how much does a mta qm bus fare,0
What is the kindest thing you have ever done for a stranger?,1
Who was the youngest soccer player to play in the World Cup?,0
Who was the first African American to become governor of a U.S. state?,0
when do elves on the shelves come back,0
"Who is older, Lance Armstrong or Alex Rodriguez?",1
Have the New England Patriots won more Super Bowls than the Pittsburgh Steelers?,0
Who is the main protagonist of the Metroid franchise?,0
"What are some magazines similar to ""Slate""?",0
who controls monetary policy in the united states,0
is a bldc motor speed limited by voltage,0
Which team has the most LA LIGA titles?,0
How many number one hits does Rick Astley have?,0
who holds the record for the farthest home run,1
how many asnas are there in surya namaskar,0
The Hundred Years War was fought between how many countries?,0
when does the next magic tree house book come out,0
"Who is older, Aretha Franklin or Miley Cyrus?",1
Who is the singer in Blackpink who was born in Thailand?,0
what is one essential element of historical fiction?,1
