opinion	question
1	Daleep kumar or Amitab bachin is best and why?
1	What are the benefits of green jasmine tea? How do they compare to those of chamomile tea?
1	What is faster - Fed Ex ground or UPS ground?
1	Which was earlier a chicken or an egg?
0	what is the best way and time to take iron tablets?
0	who has scored most goals in international football
0	what was the biggest battle in the american revolution
1	What are some good book for algorithms and data structures on java?
0	who was the first inspector general of forests in india why was he appointed
1	What are the best high schools in Silicon Valley?
1	What are the advantages and disadvantages to using your real name online?
1	What are the advantages of symlinks over hard links and viceversa?
0	what was the first theme park in disney world
1	What are the best things in life?
1	What are the best strategies for stock market investing?
1	Should I be a visiting student rather than a non-degree seeking graduate student?
0	who has had the shortest reign of the nine irish presidents to date
1	Why does Chinese food reheats better on stove than in microwave?
0	who is considered to be the first pope of the christian church
1	What are some of the best teen clothing websites?
0	who was the first home minister of india
1	What are the strongest majors in terms of job prospects and what are the weakest majors at Metro State?
0	Which MBTI types are most likely to get which mental disorders?
1	What are the best food hacks videos?
0	What are the most rushing yards in a game by a player
1	Would it be better for me to set up my garden in the fall, or wait until spring?
0	What is sequoia national park largest tree in the world
1	Super Smash Bros. Brawl: What is the best strategy against Jigglypuff?
1	What is best way to crack the Civil Services Exam?
1	What are Pros and Cons of wood vs stone mulch
0	why is the length of a lunar day different from the length of a solar day
1	which is better Carrot Pie: custard or stew?
1	What are the best travel hacks you know?
1	Is it more cost effective to open a business in DC, Virginia, or Maryland?
0	what browser can i use to play pogo games
1	What do people consider the biggest casting errors in American films?
1	What are the features of Windows Live Movie Maker vs. Windows XP Movie Maker
1	What country has the best healthcare system in the world?
1	Should I get a BSc at a top-ranked university or a MComp at a lower-ranked university?
1	What is the best simple lightweight image editor for Mac OS X?
0	What is the difference between open-cast mining and quarrying?
1	Where can I get the best digital marketing course (online & offline) in India?
0	which bleach helps fade cloth
1	Which is more reliable: UPS, FedEx, DHL, or the USPS?
0	what's the difference between a specialist and a generalist
0	what airport is close to cape cod
0	What are the healthy ways of gaining weight and muscles?
1	What are some good ideas for gothic stories?
1	What are some of the most stupid questions asked on Quora?
1	Do employees at B&G Foods have a good work-life balance? Does this differ across positions and departments?
1	What are the best Doctor Who episodes with the 3rd Doctor?
1	What are some of the best outdoor gadgets?
1	is yahoo or google better?
1	Gas or charcoal grille which one to buy
1	Who came Chicken or egg first?
0	What are some good recipes with Hormel Black Label canned ham?
1	what vitamin is best for skin elasticity
1	What are the most sorrowful pictures you have ever seen?
0	what is the most popular religion in uk
1	What's the most shocking thing you've ever caught a family member doing?
0	What statistical test should be used to compare predicted variable and actual value?
1	What is the best question asked in an interview?
1	What is the best scripting language to learn today?
1	What are the best areas to invest in real estate in Minneapolis?
1	what's better study in your country or in some other one where u not belong to ?
1	Who rocks harder Bon Jovi or the Scorpions?
1	which is better chef's knife for cutting chicken, or butcher's
0	what is the difference between type 1 and type 2 seyfert galaxies
1	Which organic aloevera gel is best suited and effective for oily and acne prone skin type?
1	Is it better to lease a car or buy it out right?
1	who will typically have the most decision-making ability in this relationship
0	Do employees at S & T Bank have a good work-life balance? Does this differ across positions and departments?
1	What is the best project management tool with hierarchies?
1	When I have the choice should I choose traveling on an Airbus 340/330 or a Boeing 777?
0	Why is UK better than USA?
0	who has won the most champions leagues player
1	Which would you rather: find your true love or be rich?
0	What are the difference between spores and gametes?
1	What would you rather do? loose music forever, or movies forever?
1	which is better used car or new car for a new driver?
1	Which is the best place where one can get free certification for IFRS?
1	What is the best position for sex?
0	what are some popular dishes in jamaica
1	What is the best IPA guide for American English?
1	Which laptop is better for a enginnering student under Rs.25000?
0	what are the benefits of beet extra
