sentence_id	words	labels
0	which	O
0	mba	O
0	stream	O
0	is	O
0	better	O
0	to	O
0	pursue	ASP
0	a	ASP
0	mechanical	ASP
0	engineer	ASP
0	as	ASP
0	fresher	ASP
1	python	ASP
1	template	ASP
1	engines	ASP
1	what	O
1	are	O
1	the	O
1	real	O
1	benifits	O
1	and	O
1	drawbacks	O
1	to	O
1	xml	O
1	vs	O
1	custom	O
1	syntax	O
2	who	O
2	is	O
2	the	O
2	most	O
2	likely	ASP
2	next	ASP
2	president	ASP
3	what	O
3	books	O
3	should	O
3	you	O
3	read	O
3	to	O
3	improve	ASP
3	your	ASP
3	programming	ASP
3	skills	ASP
4	who	O
4	was	O
4	the	O
4	longest	O
4	ruling	ASP
4	non	O
4	royal	O
4	head	O
4	of	O
4	state	O
4	post	O
4	1900	O
5	what	O
5	s	O
5	the	O
5	better	O
5	way	O
5	to	O
5	charge	ASP
5	for	ASP
5	a	ASP
5	cloud	ASP
5	platform	ASP
5	simple	O
5	but	O
5	more	O
5	expensive	O
5	or	O
5	complicated	O
5	but	O
5	cheaper	O
5	for	O
5	most	O
6	are	O
6	there	O
6	any	O
6	risks	ASP
6	down	O
6	the	O
6	line	O
6	choosing	O
6	maths	O
6	vs	O
6	stats	O
6	phd	O
6	programme	O
7	what	O
7	marinades	O
7	are	O
7	the	O
7	best	O
7	for	O
7	tenderizing	ASP
7	pork	ASP
7	chops	ASP
8	who	O
8	has	O
8	more	O
8	fans	ASP
8	manchester	O
8	united	O
8	or	O
8	city	O
9	what	O
9	are	O
9	the	O
9	best	O
9	resources	O
9	for	O
9	learning	ASP
9	spanish	ASP
9	and	O
9	how	O
9	can	O
9	i	O
9	become	ASP
9	a	ASP
9	competent	ASP
9	speaker	ASP
9	reader	ASP
9	and	ASP
9	writer	ASP
9	of	ASP
9	the	ASP
9	spanish	ASP
9	language	ASP
10	what	O
10	foods	O
10	burn	ASP
10	calories	ASP
10	faster	O
10	to	O
10	blast	ASP
10	that	ASP
10	fat	ASP
11	what	O
11	are	O
11	the	O
11	most	O
11	interesting	ASP
11	questions	O
11	asked	O
11	in	O
11	any	O
11	interview	O
12	what	O
12	are	O
12	the	O
12	most	O
12	unusual	ASP
12	and	ASP
12	innovative	ASP
12	punishments	O
12	that	O
12	you	O
12	have	O
12	heard	O
12	experienced	O
12	in	O
12	school	O
13	do	O
13	employees	O
13	at	O
13	b	O
13	g	O
13	foods	O
13	have	O
13	a	O
13	good	O
13	work	ASP
13	life	ASP
13	balance	ASP
13	does	O
13	this	O
13	differ	O
13	across	O
13	positions	O
13	and	O
13	departments	O
14	what	O
14	are	O
14	the	O
14	easiest	O
14	things	O
14	to	O
14	do	O
14	while	O
14	being	O
14	abroad	O
14	to	O
14	make	ASP
14	money	ASP
15	what	O
15	is	O
15	the	O
15	best	O
15	way	O
15	to	O
15	clean	O
15	paint	O
15	brushes	O
16	how	O
16	do	O
16	the	O
16	products	O
16	differ	O
16	when	O
16	ethyl	ASP
16	bromide	ASP
16	reacts	ASP
16	separately	ASP
16	with	ASP
16	aqueous	ASP
16	koh	ASP
16	and	ASP
16	alchoholic	ASP
16	koh	ASP
16	name	O
16	the	O
16	product	O
17	who	O
17	is	O
17	currently	O
17	the	O
17	most	O
17	famous	ASP
17	person	O
17	alive	O
17	who	O
17	is	O
17	in	O
17	the	O
17	top	O
17	10	O
18	what	O
18	is	O
18	the	O
18	most	O
18	popular	ASP
18	food	O
18	in	O
18	romania	O
19	what	O
19	is	O
19	a	O
19	good	O
19	book	O
19	to	O
19	start	ASP
19	learning	ASP
19	about	ASP
19	logic	ASP
20	what	O
20	are	O
20	the	O
20	best	O
20	books	O
20	for	O
20	the	O
20	jee	ASP
20	mains	ASP
21	do	O
21	you	O
21	think	O
21	that	O
21	it	O
21	is	O
21	easier	O
21	to	O
21	learn	ASP
21	new	ASP
21	subjects	ASP
21	by	O
21	yourself	O
21	or	O
21	do	O
21	you	O
21	think	O
21	it	O
21	is	O
21	better	O
21	to	O
21	have	O
21	a	O
21	teacher	O
22	what	O
22	sea	O
22	creature	O
22	has	O
22	the	O
22	largest	O
22	brain	ASP
22	octopus	O
23	who	O
23	will	O
23	be	O
23	the	O
23	winner	O
23	of	O
23	the	O
23	sankranti	ASP
23	in	ASP
23	2017	ASP
24	what	O
24	are	O
24	some	O
24	of	O
24	the	O
24	most	O
24	beautiful	ASP
24	natural	O
24	phenomena	O
25	who	O
25	is	O
25	the	O
25	most	O
25	handsome	ASP
25	man	O
25	on	O
25	game	O
25	of	O
25	thrones	O
26	what	O
26	are	O
26	the	O
26	most	O
26	common	ASP
26	jobs	O
26	in	O
26	indiana	O
27	how	O
27	much	O
27	urjit	O
27	patel	O
27	suits	ASP
27	to	ASP
27	rbi	ASP
27	as	O
27	a	O
27	governor	O
27	compare	O
27	with	O
27	raghuram	O
27	rajan	O
27	sir	O
28	who	O
28	has	O
28	the	O
28	most	O
28	record	ASP
28	sales	ASP
28	of	ASP
28	all	ASP
28	time	ASP
29	which	O
29	place	O
29	is	O
29	best	O
29	to	O
29	work	ASP
29	mumbai	O
29	or	O
29	delhi	O
30	what	O
30	are	O
30	the	O
30	best	O
30	strategies	O
30	for	O
30	preparing	ASP
30	for	ASP
30	the	ASP
30	gmat	ASP
31	what	O
31	is	O
31	gate	O
31	how	O
31	difficult	ASP
31	is	O
31	it	O
31	compared	O
31	to	O
31	jee	O
32	what	O
32	are	O
32	the	O
32	best	O
32	tools	O
32	for	O
32	augmented	ASP
32	reality	ASP
32	development	ASP
33	who	O
33	are	O
33	some	O
33	of	O
33	the	O
33	most	O
33	influential	ASP
33	iitians	O
33	students	O
33	alumni	O
34	which	O
34	team	O
34	has	O
34	won	O
34	the	O
34	most	O
34	nba	ASP
34	titles	ASP
35	who	O
35	has	O
35	the	O
35	record	O
35	for	O
35	most	O
35	superbowl	ASP
35	rings	ASP
36	who	O
36	holds	O
36	the	O
36	record	O
36	for	O
36	the	O
36	farthest	O
36	home	ASP
36	run	ASP
37	is	O
37	usa	O
37	the	O
37	most	O
37	powerful	ASP
37	country	O
37	of	O
37	the	O
37	world	O
38	who	O
38	is	O
38	the	O
38	longest	O
38	serving	ASP
38	member	O
38	of	O
38	the	O
38	house	O
38	in	O
38	history	O
39	talks	O
39	vs	O
39	poster	O
39	presentations	O
39	which	O
39	is	O
39	better	O
39	for	O
39	advertising	ASP
39	your	ASP
39	research	ASP
39	and	ASP
39	building	ASP
39	research	ASP
39	networks	ASP
40	how	O
40	cold	O
40	can	O
40	the	O
40	gobi	O
40	desert	O
40	get	O
40	and	O
40	how	O
40	do	O
40	its	O
40	average	ASP
40	temperatures	ASP
40	compare	O
40	to	O
40	the	O
40	ones	O
40	in	O
40	the	O
40	great	O
40	victoria	O
40	desert	O
41	who	O
41	holds	O
41	the	O
41	record	O
41	for	O
41	most	O
41	home	ASP
41	runs	ASP
41	in	ASP
41	major	ASP
41	league	ASP
41	baseball	ASP
42	what	O
42	is	O
42	the	O
42	best	O
42	time	O
42	of	O
42	year	O
42	to	O
42	cruise	ASP
42	the	ASP
42	western	ASP
42	caribbean	ASP
43	what	O
43	is	O
43	the	O
43	most	O
43	popular	ASP
43	mobile	O
43	game	O
43	in	O
43	america	O
44	who	O
44	invented	ASP
44	the	O
44	first	O
44	radio	ASP
44	and	O
44	what	O
44	year	O
45	when	O
45	is	O
45	the	O
45	best	O
45	time	O
45	to	O
45	plant	ASP
45	grass	ASP
45	seed	ASP
45	in	ASP
45	the	ASP
45	northwest	ASP
46	where	O
46	does	O
46	most	O
46	of	O
46	the	O
46	wood	ASP
46	come	ASP
46	from	ASP
47	do	O
47	employees	O
47	at	O
47	s	O
47	t	O
47	bank	O
47	have	O
47	a	O
47	good	O
47	work	ASP
47	life	ASP
47	balance	ASP
47	does	O
47	this	O
47	differ	O
47	across	O
47	positions	O
47	and	O
47	departments	O
48	where	O
48	are	O
48	most	O
48	of	O
48	the	O
48	world	ASP
48	s	ASP
48	earthquakes	ASP
48	located	ASP
49	what	O
49	are	O
49	some	O
49	lesser	ASP
49	known	ASP
49	sights	O
49	to	O
49	see	O
49	when	O
49	visiting	O
49	bhatpara	O
49	india	O
50	what	O
50	s	O
50	so	O
50	special	ASP
50	about	O
50	prisma	O
50	app	O
51	what	O
51	s	O
51	the	O
51	record	O
51	for	O
51	most	O
51	points	ASP
51	scored	ASP
51	in	ASP
51	nba	ASP
51	game	ASP
52	what	O
52	are	O
52	the	O
52	books	O
52	that	O
52	have	ASP
52	influenced	ASP
52	you	ASP
52	the	O
52	most	O
53	what	O
53	are	O
53	good	O
53	business	O
53	books	O
53	to	O
53	read	ASP
54	what	O
54	are	O
54	the	O
54	highest	O
54	grossing	ASP
54	malayalam	O
54	movies	O
54	of	O
54	all	ASP
54	time	ASP
54	wiki	O
55	what	O
55	is	O
55	the	O
55	most	O
55	important	ASP
55	life	O
55	lesson	O
55	you	O
55	ve	O
55	learned	O
55	so	O
55	far	O
56	what	O
56	made	O
56	facebook	O
56	wildly	O
56	more	O
56	successful	ASP
56	than	O
56	other	O
56	social	O
56	networking	O
56	sites	O
56	like	O
56	orkut	O
56	and	O
56	myspace	O
57	who	O
57	will	O
57	win	O
57	fifa	ASP
57	world	ASP
57	cup	ASP
57	2018	ASP
58	what	O
58	are	O
58	the	O
58	countries	O
58	with	O
58	the	O
58	largest	O
58	reserves	ASP
58	of	ASP
58	natural	ASP
58	gas	ASP
58	are	O
59	what	O
59	are	O
59	some	O
59	of	O
59	the	O
59	most	O
59	awesome	ASP
59	pictures	O
59	of	O
59	actress	O
59	without	O
59	makeup	O
60	graphic	O
60	era	O
60	university	O
60	is	O
60	best	O
60	for	O
60	mba	ASP
60	or	ASP
60	jss	ASP
60	noida	ASP
61	what	O
61	is	O
61	the	O
61	best	O
61	early	O
61	morning	O
61	habit	O
61	for	O
61	success	ASP
62	what	O
62	are	O
62	some	O
62	of	O
62	the	O
62	most	O
62	powerful	ASP
62	beautiful	ASP
62	greatest	O
62	single	O
62	images	O
62	in	O
62	comics	O
62	and	O
62	why	O
63	who	O
63	will	O
63	win	O
63	the	O
63	us	ASP
63	election	ASP
63	in	ASP
63	2016	ASP
64	when	O
64	is	O
64	the	O
64	best	O
64	time	O
64	of	O
64	year	O
64	to	O
64	grow	ASP
64	beans	ASP
65	what	O
65	is	O
65	the	O
65	most	O
65	under	O
65	rated	ASP
65	pleasure	O
66	what	O
66	movie	O
66	holds	O
66	the	O
66	record	O
66	for	O
66	most	O
66	money	ASP
66	made	ASP
66	in	ASP
66	an	ASP
66	opening	ASP
66	weekend	ASP
67	who	O
67	won	O
67	the	O
67	first	O
67	men	ASP
67	s	ASP
67	ncaa	ASP
67	tournament	ASP
68	who	O
68	has	O
68	the	O
68	most	O
68	money	ASP
68	on	ASP
68	shark	ASP
68	tank	ASP
68	australia	ASP
69	why	O
69	does	O
69	a	O
69	submarine	O
69	implode	O
69	at	O
69	a	O
69	certain	O
69	depth	O
69	but	O
69	some	O
69	marine	O
69	life	O
69	can	O
69	live	O
69	on	O
69	the	O
69	ocean	O
69	floor	O
69	in	O
69	the	O
69	deepest	O
69	oceans	ASP
69	without	O
69	being	O
69	crushed	O
70	what	O
70	is	O
70	a	O
70	suitable	ASP
70	solar	O
70	panel	O
70	installation	O
70	provider	O
70	in	O
70	boulder	O
70	creek	O
70	california	O
70	ca	O
71	who	O
71	hit	O
71	the	O
71	most	O
71	home	ASP
71	runs	ASP
71	in	ASP
71	major	ASP
71	league	ASP
71	baseball	ASP
71	in	ASP
71	2002	ASP
72	who	O
72	has	O
72	won	O
72	the	O
72	most	O
72	wimbledon	ASP
72	women	ASP
72	s	ASP
72	titles	ASP
73	where	O
73	are	O
73	most	O
73	nitrogen	ASP
73	compounds	ASP
73	excreted	ASP
73	from	ASP
73	humans	ASP
74	where	O
74	can	O
74	i	O
74	get	O
74	the	O
74	best	O
74	quality	ASP
74	photo	O
74	booth	O
74	service	O
74	in	O
74	australia	O
75	who	O
75	was	O
75	the	O
75	last	O
75	governor	O
75	in	O
75	the	O
75	united	O
75	states	O
75	to	O
75	be	ASP
75	impeached	ASP
76	are	O
76	split	O
76	genes	O
76	primarily	O
76	found	ASP
76	in	ASP
76	prokaryotes	ASP
77	i	O
