words,labels
"['also', 'i', 'have', 'recently', 'discovered', 'advil', 'liquigels', 'work', 'much', 'better', 'and', 'faster', 'for', 'a', 'headache', 'than', 'regular', 'ibuprofen']","['0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '0', '3', '0', '0', '3', '0', '0', '1']"
"['i', 'have', 'always', 'heard', 'that', 'motrin', 'is', 'better', 'than', 'advil', 'for', 'fevers', 'and', 'that', 'advil', 'works', 'better', 'for', 'body', 'aches', 'and', 'pains']","['0', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '3', '0', '0', '1', '0', '3', '0', '3', '4', '0', '3']"
"['when', 'i', 'was', 'a', 'figure', 'skater', 'i', 'injuried', 'my', 'ankles', 'all', 'the', 'time', 'and', 'the', 'quickest', 'way', 'back', 'on', 'your', 'feet', 'is', 'regular', 'doses', 'of', 'motrin', 'faster', 'acting', 'than', 'advil', 'and', 'you', 'can', 'take', 'it', 'more', 'often', 'ice', 'and', 'keeping', 'it', 'above', 'your', 'hip']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '4', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['in', 'a', 'way', 'halloween', 'is', 'even', 'better', 'than', 'thanksgiving', 'my', 'absolute', 'favorite', 'holiday', 'because', 'thanksgiving', 'divides', 'us', 'into', 'separate', 'households', 'while', 'halloween', 'unites', 'us', 'into', 'bands', 'of', 'candy', 'bandits']","['0', '0', '0', '1', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0']"
"['i', 'think', 'halloween', 'is', 'actually', 'safer', 'than', 'christmas', 'and', 'thanksgiving']","['0', '0', '1', '0', '0', '3', '0', '0', '0', '1']"
"['this', 'year', 'the', 'cousin', 'with', 'the', 'newest', 'baby', 'decided', 'to', 'bring', 'her', 'to', 'meet', 'the', 'family', 'on', 'halloween', 'rather', 'than', 'thanksgiving', 'or', 'christmas', 'because', 'travel', 'is', 'easier', 'and', 'distractions', 'fewer']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '1', '0', '3', '0', '3', '0', '3', '3']"
"['if', 'you', 'were', 'to', 'give', '200', 'as', 'a', 'wedding', 'gift', 'it', 'might', 'be', 'easier', 'for', 'them', 'to', 'accept', 'than', 'if', 'you', 'gave', 'them', '200', 'for', 'a', 'birthday', 'because', 'that', 'type', 'of', 'gift', 'on', 'a', 'birthday', 'is', 'not', 'normal']","['0', '0', '0', '0', '0', '4', '0', '0', '1', '3', '0', '0', '0', '3', '4', '4', '4', '4', '0', '0', '0', '0', '0', '4', '0', '0', '1', '0', '0', '0', '0', '3', '0', '0', '1', '0', '0', '0']"
"['birthday', 'cakes', 'are', 'easier', 'to', 'make', 'and', 'there', 's', 'less', 'pressure', 'for', 'a', 'beginner', 'than', 'wedding', 'cakes']","['1', '3', '0', '3', '4', '4', '0', '0', '0', '3', '3', '0', '0', '0', '0', '1', '0']"
"['a', 'friend', 'once', 'told', 'me', 'her', 'parents', 'wedding', 'anniversary', 'was', 'a', 'far', 'greater', 'family', 'holiday', 'than', 'her', 'own', 'birthday']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '3', '3', '4', '0', '0', '0', '1']"
"['when', 'i', 'think', 'about', 'my', 'average', 'wedding', 'cake', 'earnings', 'taking', 'into', 'consideration', 'the', 'time', 'and', 'materials', 'i', 'invest', 'in', 'baking', 'and', 'deco', 'ing', 'the', 'return', 'is', 'hands', 'down', 'so', 'much', 'greater', 'than', 'spending', 'the', 'same', 'amount', 'of', 'time', 'doing', 'birthday', 'style', 'cakes']","['0', '0', '0', '0', '0', '0', '1', '3', '4', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0']"
"['i', 'used', 'chalk', 'pastels', 'which', 'are', 'much', 'easier', 'to', 'control', 'than', 'paint', 'brushes']","['0', '0', '1', '3', '0', '0', '0', '3', '4', '4', '0', '1', '3']"
"['white', 'chalk', 'is', 'nicer', 'than', 'charcoal', 'condo', 'said', 'because', 'you', 'can', 'go', 'right', 'over', 'it', 'with', 'oil', 'paint']","['0', '1', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['it', 's', 'also', 'a', 'bit', 'easier', 'to', 'carry', 'a', 'piece', 'of', 'chalk', 'in', 'your', 'pocket', 'than', '20', 'or', '30', 'stencils', 'and', 'a', 'can', 'of', 'spray', 'paint']","['0', '0', '0', '0', '0', '3', '4', '4', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1']"
"['skiing', 'safer', 'than', 'biking', 'swimming']","['1', '3', '0', '1', '1']"
"['in', 'this', 'regard', 'skiing', 'and', 'snowboarding', 'are', 'safer', 'sports', 'than', 'bike', 'riding', 'or', 'swimming']","['0', '0', '0', '1', '0', '1', '0', '3', '0', '0', '1', '2', '0', '1']"
