words,labels
"[also , i have recently discovered advil liquigels work much better and faster for a headache than regular ibuprofen .]",[O O O O O O B-Object O O O B-Predicate O B-Predicate O O B-Aspect O O B-Object O]
"[i have always heard that motrin is better than advil for fevers , and that advil works better for body aches and pains .]",[O O O O O B-Object O B-Predicate O B-Object O B-Aspect O O O B-Object O B-Predicate O B-Aspect I-Aspect O B-Aspect O]
[when i was a figure skater i injuried my ankles all the time and the quickest way back on your feet is regular doses of motrin ( faster acting than advil and you can take it more often ) ice and keeping it above your hip .],[O O O O O O O O O O O O O O O O O O O O O O O O O B-Object O B-Predicate I-Predicate O B-Object O O O O O O O O O O O O O O O O]
"[in a way , halloween is even better than thanksgiving ( my absolute favorite holiday ) because thanksgiving divides us into separate households , while halloween unites us into bands of candy bandits .]",[O O O O B-Object O O B-Predicate O B-Object O O O O O O O B-Object O O O O O O O B-Object O O O O O O O O]
[i think halloween is actually safer than christmas and thanksgiving .],[O O B-Object O O B-Predicate O O O B-Object O]
"[this year , the cousin with the newest baby decided to bring her to meet the family on halloween , rather than thanksgiving or christmas , because travel is easier and distractions fewer .]",[O O O O O O O O O O O O O O O O O O B-Object O O O B-Object O B-Object O O B-Aspect O B-Predicate O B-Aspect B-Predicate O]
"[if you were to give $ 200 as a wedding gift , it might be easier for them to accept than if you gave them $ 200 for a birthday because that type of gift on a birthday is not normal .]",[O O O O O B-Aspect I-Aspect O O B-Object B-Aspect O O O O B-Predicate I-Predicate I-Predicate I-Predicate I-Predicate O O O O O B-Aspect I-Aspect O O B-Object O O O O B-Aspect O O B-Object O O O O]
[birthday cakes are easier to make and there ' s less pressure for a beginner than wedding cakes .],[B-Object B-Aspect O B-Predicate I-Predicate I-Predicate O O O O B-Predicate B-Aspect O O O O B-Object O O]
[a friend once told me her parents ' wedding anniversary was a far greater family holiday than her own birthday .],[O O O O O O O O B-Object O O O O B-Predicate B-Aspect I-Aspect O O O B-Object O]
"[when i think about my average wedding cake earnings , taking into consideration the time and materials i invest in baking and deco - ing , the return is hands down so much greater than spending the same amount of time doing birthday - style cakes .]",[O O O O O O B-Object B-Aspect I-Aspect O O O O O B-Aspect O B-Aspect O O O O O O O O O O B-Aspect O O O O O B-Predicate O O O O O O B-Aspect O B-Object O O O O]
"[i used chalk pastels , which are much easier to control than paint brushes .]",[O O B-Object B-Aspect O O O O B-Predicate I-Predicate I-Predicate O B-Object B-Aspect O]
"[white chalk is nicer than charcoal , condo said , because you can go right over it with oil paint .]",[O B-Object O B-Predicate O B-Object O O O O O O O O O O O O O O O]
[it ' s also a bit easier to carry a piece of chalk in your pocket than 20 or 30 stencils and a can of spray paint .],[O O O O O O B-Predicate I-Predicate I-Predicate O O O B-Object O O O O O O O O O O O O O B-Object O]
"[skiing : safer than biking , swimming .]",[B-Object O B-Predicate O B-Object O B-Object O]
"[in this regard , skiing and snowboarding are safer sports than bike riding or swimming .]",[O O O O B-Object O B-Object O B-Predicate O O B-Object I-Object O B-Object O]
[this fatality rate makes skiing and snowboarding more dangerous than bicycling and slightly safer than swimming .],[O O O O B-Object O B-Object B-Predicate I-Predicate O B-Object O O B-Predicate O B-Object O]
"[statistically speaking , skiing is generally considered safer than swimming , horse riding , climbing , or playing football .]",[O O O B-Object O O O B-Predicate O B-Object O B-Object I-Object O B-Object O O O B-Object O]
"[to the public , ski resorts market skiing and snowboarding as safe - safer than cycling or swimming .]",[O O O O O O O B-Object O B-Object O O O B-Predicate O B-Object O B-Object O]
[so it is well known that grading at stanford or harvard is easier than grading at mit or caltech .],[O O O O O O B-Aspect O B-Object O B-Object O B-Predicate O B-Aspect O B-Object O B-Object O]
"[it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit , says jaronczyk .]",[O O O O B-Aspect O B-Object O B-Predicate O O B-Aspect O B-Object O O O O O O O O O B-Object O O O O]
[at mit we thought we were better than people at harvard because we were smarter and worked harder .],[O B-Object O O O O B-Predicate O B-Aspect O B-Object O O O B-Predicate O B-Predicate I-Predicate O]
"[if you want to say mit kids are smarter than harvard kids , well , i give that to you .]",[O O O O O B-Object B-Aspect O B-Predicate O B-Object B-Aspect O O O O O O O O O]
[i can ' t understand why they ' d turn down the mit engineer who is probably much smarter then the harvard poetry major .],[O O O O O O O O O O O O B-Object B-Aspect O O O O B-Predicate O O B-Object B-Aspect I-Aspect O]
"[bryan says that general opinion on campus favors harvard men as being more "" normal "" than the men at the mit shuttle stop .]",[O O O O O O O O B-Object B-Aspect O O B-Predicate I-Predicate I-Predicate I-Predicate O O B-Aspect O O B-Object O O O]
[it is even harder to get off the waitlist from mit than at harvard or stanford .],[O O O B-Predicate I-Predicate I-Predicate I-Predicate I-Predicate I-Predicate O B-Object O O B-Object O B-Object O]
[mit announced last week that the size of its endowment fell by roughly 21 percent this past fiscal year - substantially better than the 30 percent declines reported by harvard and yale only a few days earlier .],[B-Object O O O O O O O O B-Aspect O O O O O O O O O O O B-Predicate O O O O O O O B-Object O B-Object O O O O O O]
[with debug on and all safety features enabled swift is currently between 20 - 300x times slower than objective - c .],[O B-Aspect O O O B-Aspect O O B-Object O O O O O O O B-Predicate O B-Object I-Object I-Object O]
"[dare i also say that learning objective - c may be a tad easier than swift , only because objective - c does not contain some of the more advanced features as swift such as functional patterns , generics , and advanced enumeration and collection features .]",[O O O O O B-Aspect B-Object I-Object I-Object O O O O B-Predicate O B-Object O O O B-Object I-Object I-Object O O O O O O O O O O B-Object O O B-Aspect I-Aspect O B-Aspect O O B-Aspect I-Aspect O B-Aspect I-Aspect O]
"[swift is ultimately a bigger language than objective c , with features like advanced enums , generics / templates , tuples , operator overloading , etc .]",[B-Object O O O B-Predicate O O B-Object I-Object O O O O B-Aspect I-Aspect O B-Aspect O B-Aspect O B-Aspect O B-Aspect I-Aspect O O O]
"[you ' ll pick up swift language features and syntax along the way , and understand why using swift ( instead of objective - c ) makes ios and mac app development easier , faster , and safer .]",[O O O O O B-Object O O O O O O O O O O O O B-Object O O O B-Object I-Object I-Object O O O O O B-Aspect I-Aspect B-Predicate O B-Predicate O O B-Predicate O]
"[swift is designed for cocoa and cocoa touch , and is meant to be easier , faster , and safer than objective - c .]",[B-Object O O O B-Aspect O B-Aspect I-Aspect O O O O O O B-Predicate O B-Predicate O O B-Predicate O B-Object I-Object I-Object O]
"[apple ' s swift programming language faster , safer than objective - c .]",[O O O B-Object O O B-Predicate O B-Predicate O B-Object I-Object I-Object O]
[i love the swift because it ' s safer and easier than objective - c .],[O O O B-Object O O O O B-Predicate O B-Predicate O B-Object I-Object I-Object O]
"[swift is intended to be more resilient to erroneous code ( safer ) than objective - c , and also more concise .]",[B-Object O O O O B-Predicate I-Predicate O O O O B-Predicate O O B-Object I-Object I-Object O O O B-Predicate I-Predicate O]
"[i ' ve touched on just a couple of swift ' s myriad safety features , and it is clear that swift will produce safer code than is typical of c and objective - c .]",[O O O O O O O O O B-Object O O O B-Aspect O O O O O O O B-Object O O B-Predicate O O O O O B-Object O B-Object I-Object I-Object O]
"[xcode will add the swift programming language , which apple says is much faster than objective c . presenters cited many modern features , including generics , namespaces , and type inference .]",[O O O O B-Object O O O O O O O O B-Predicate O B-Object I-Object O O O O O O O O B-Aspect O B-Aspect O O B-Aspect I-Aspect O]
"[another advancement is the introduction of swift , a much simpler , easier to use and faster programming language than objective - c , which apple had been relying on for years .]",[O O O O O O B-Object O O O B-Predicate O B-Predicate I-Predicate I-Predicate O B-Predicate O O O B-Object I-Object I-Object O O O O O O O O O O]
"[called swift , it ' s meant to offer a faster , easier way to build software for apple ' s products than its existing programming language , objective - c .]",[O B-Object O O O O O O O O B-Predicate O B-Predicate O O O O O O O O O O O O O O O B-Object I-Object I-Object O]
[i ' ve never written anything in the ios ecosystem so i spent about a week to research before digging in . the transition was smooth primarily because i ' m using swift -- a much more succinct and modern language than objective - c -- and my somewhat dated android experience and very dated windows dev experience provided me with all of the patterns i needed to understand ios .],[O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Object O O O B-Predicate I-Predicate O O O O B-Object I-Object I-Object O O O O O O O O O O O O O O O O O O O O O O O O O O]
"[although swift is easier to use , we ' re sure that there will be issues like crashes , slow request , errors and so on as we already know it from objective - c and other languages .]",[O B-Object O B-Predicate I-Predicate I-Predicate O O O O O O O O O O O O O O O O O O O O O O O O O O B-Object I-Object I-Object O O O O]
"[in other words , ios and os x apps built with swift should run even smoother and faster than counterparts made with the tried and true objective - c .]",[O O O O O O B-Aspect I-Aspect I-Aspect O O B-Object O O O B-Predicate O B-Predicate O O O O O O O O B-Object I-Object I-Object O]
"[even if you don ' t know what those terms mean , it ' s easy to pick up that apps ios and os x developers build with swift should run even smoother and faster than counterparts made with the objective - c language they ' ve been using .]",[O O O O O O O O O O O O O O O O O O O O B-Aspect O O O O O O O B-Object O O O B-Predicate O B-Predicate O O O O O B-Object I-Object I-Object O O O O O O O]
[swift does appear simpler than objective - c .],[B-Object O O B-Predicate O B-Object I-Object I-Object O]
[swift ' s operator precedences and associativity rules are simpler and more predictable than those found in c and objective - c .],[B-Object O O B-Aspect I-Aspect O B-Aspect I-Aspect O B-Predicate O B-Predicate I-Predicate O O O O O O B-Object I-Object I-Object O]
"[swift is simpler than objective - c and allows users to see their code in action as they write it on their computer screens , rather than running it through a compiler before checking it out .]",[B-Object O B-Predicate O B-Object I-Object I-Object O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O]
"[swift is marginally easier to read than objective - c , sure .]",[B-Object O O B-Predicate I-Predicate I-Predicate O B-Object I-Object I-Object O O O]
"[trees from lower michigan and wisconsin have grown faster , and trees from iowa , virginia , and west virginia have grown slower than would have been expected from the latitude of their provenance .]",[B-Aspect O O B-Object O B-Object O B-Predicate I-Predicate O O B-Aspect O B-Object O B-Object O O B-Object I-Object O B-Predicate I-Predicate O O O O O O O O O O O O]
