sentence_id	words	labels
0	python	O
0	template	O
0	engines	O
0	what	O
0	are	O
0	the	O
0	real	O
0	benifits	O
0	and	O
0	drawbacks	O
0	to	O
0	xml	OBJ
0	vs	O
0	custom	OBJ
0	syntax	OBJ
1	what	O
1	s	O
1	the	O
1	better	O
1	way	O
1	to	O
1	charge	O
1	for	O
1	a	O
1	cloud	O
1	platform	O
1	simple	OBJ
1	but	OBJ
1	more	OBJ
1	expensive	OBJ
1	or	O
1	complicated	OBJ
1	but	OBJ
1	cheaper	OBJ
1	for	O
1	most	O
2	what	O
2	are	O
2	the	O
2	differences	O
2	between	O
2	through	O
2	and	O
2	thru	OBJ
3	are	O
3	there	O
3	any	O
3	risks	O
3	down	O
3	the	O
3	line	O
3	choosing	OBJ
3	maths	OBJ
3	vs	O
3	stats	OBJ
3	phd	OBJ
3	programme	OBJ
4	which	O
4	is	O
4	considered	O
4	more	O
4	valuable	O
4	for	O
4	faculty	O
4	job	O
4	applications	O
4	teaching	OBJ
4	experience	OBJ
4	or	O
4	participation	OBJ
4	in	OBJ
4	conferences	OBJ
5	who	O
5	has	O
5	more	O
5	fans	O
5	manchester	OBJ
5	united	OBJ
5	or	O
5	city	OBJ
6	which	O
6	was	O
6	better	O
6	sam	OBJ
6	raimi	OBJ
6	s	OBJ
6	spider	OBJ
6	man	OBJ
6	or	O
6	christopher	OBJ
6	nolan	OBJ
6	s	OBJ
6	batman	OBJ
6	begins	OBJ
7	which	O
7	one	O
7	is	O
7	better	O
7	a	O
7	honda	OBJ
7	accord	OBJ
7	or	O
7	a	O
7	toyota	OBJ
7	camry	OBJ
8	is	O
8	it	O
8	better	O
8	to	O
8	use	OBJ
8	assert	OBJ
8	or	O
8	illegalargumentexception	OBJ
8	for	O
8	required	O
8	method	O
8	parameters	O
9	what	O
9	is	O
9	the	O
9	difference	O
9	between	O
9	data	OBJ
9	analyticis	OBJ
9	and	O
9	data	OBJ
9	mining	OBJ
10	what	O
10	was	O
10	the	O
10	significance	OBJ
10	of	OBJ
10	the	OBJ
10	battle	OBJ
10	of	OBJ
10	somme	OBJ
10	and	O
10	how	O
10	did	O
10	this	O
10	battle	O
10	compare	O
10	and	O
10	contrast	O
10	to	O
10	the	O
10	battle	OBJ
10	of	OBJ
10	penang	OBJ
11	are	O
11	abraham	OBJ
11	and	O
11	brahma	OBJ
11	same	O
12	which	O
12	is	O
12	better	O
12	ferrying	OBJ
12	icelandic	OBJ
12	rental	OBJ
12	car	OBJ
12	vs	O
12	renting	OBJ
12	on	OBJ
12	faroe	OBJ
12	islands	OBJ
13	what	O
